City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
565,Kirakira,SB,-10.4544,161.9205,77.99,84,86,0.81,overcast clouds
566,Rudnichnyy,RU,59.617,52.4703,41.83,94,100,2.59,overcast clouds
567,San Patricio,US,28.017,-97.5169,83.16,60,86,6.33,overcast clouds
568,Jaisalmer,IN,26.9147,70.9181,90.21,45,35,11.54,scattered clouds
569,Touros,BR,-5.1989,-35.4608,86.9,60,6,16.17,clear sky
570,Gornyy,RU,55.1153,83.9059,33.8,90,98,8.95,overcast clouds
571,Bend,US,44.0582,-121.3153,64.45,61,1,1.01,clear sky
572,Aswan,EG,24.0934,32.907,92.5,22,0,10.36,clear sky
573,Baracoa,CU,20.3467,-74.4958,86.27,62,55,9.82,broken clouds
574,Haines Junction,CA,60.7522,-137.5108,35.55,93,100,2.3,light rain
575,Calabozo,VE,8.9242,-67.4293,92.28,44,54,6.31,broken clouds
576,Imeni Poliny Osipenko,RU,52.4201,136.4853,33.91,63,43,2.68,scattered clouds
577,Kamarion,GR,36.8,25.8167,66.74,70,0,29.77,clear sky
578,Sandy Bay,AU,-42.913,147.3532,55.29,93,90,4.61,overcast clouds
579,Ordu,TR,40.9086,37.6845,48.7,91,98,0.81,overcast clouds
580,Molde,NO,62.7375,7.1591,56.97,67,0,3.44,clear sky
581,Asau,RO,46.4333,26.4,54.75,66,8,1.19,clear sky
582,Guangzhou,CN,23.1167,113.25,84.15,67,0,9.26,clear sky
583,Agaro,ET,7.85,36.65,60.57,97,100,3.09,light rain
584,Brentwood,US,40.7812,-73.2462,74.89,56,75,5.99,broken clouds
585,Belmonte,BR,-15.8631,-38.8828,84.7,64,22,14.23,few clouds
586,Bonthe,SL,7.5264,-12.505,80.98,78,93,7.2,moderate rain
587,Kalianget,ID,-7.05,113.9333,80.67,75,96,5.12,overcast clouds
588,Khuzdar,PK,27.7384,66.6434,79.03,54,38,10.07,scattered clouds
589,Ayan,RU,56.45,138.1667,41.54,70,24,6.6,few clouds
590,Nuuk,GL,64.1835,-51.7216,39.81,52,20,12.66,few clouds
591,Alofi,NU,-19.0595,-169.9187,73.29,94,100,12.66,overcast clouds
592,Punta Cardon,VE,11.6581,-70.215,88.11,61,94,20.89,overcast clouds
593,Cantaura,VE,9.3057,-64.3584,90.79,45,34,11.68,scattered clouds
594,Adre,TD,13.4667,22.2,84.09,28,0,5.66,clear sky
595,Nguru,NG,12.8791,10.4526,93.97,19,2,3.8,clear sky
596,Saint-Ambroise,CA,48.5501,-71.3324,52.57,81,96,2.3,overcast clouds
597,Susice,CZ,49.2311,13.5202,63.36,78,51,3.91,broken clouds
598,Ziro,IN,27.6333,93.8333,56.53,98,44,0.58,scattered clouds
599,Naraini,IN,25.1833,80.4833,83.62,67,88,2.44,overcast clouds
600,Altamira,BR,-3.2033,-52.2064,87.89,66,75,4.61,broken clouds
601,Port Moresby,PG,-9.4431,147.1797,78.22,94,75,3.44,broken clouds
602,Puri,IN,19.8,85.85,82.92,78,3,12.01,clear sky
603,Longkou,CN,37.6508,120.3286,70.9,87,47,15.79,scattered clouds
604,Kaseda,JP,31.4167,130.3167,71.85,87,1,6.22,clear sky
605,Khakhea,BW,-24.6895,23.494,68.2,15,1,10.65,clear sky
606,Vyazma,RU,55.2104,34.2951,43.39,82,84,5.68,broken clouds
607,Vao,NC,-22.6667,167.4833,71.15,91,100,15.17,overcast clouds
608,Teahupoo,PF,-17.8333,-149.2667,69.76,76,32,19.95,scattered clouds
609,Bac Lieu,VN,9.285,105.7244,80.24,85,100,8.5,overcast clouds
610,Odweyne,SO,9.4092,45.064,76.82,62,55,10.51,light rain
611,Noumea,NC,-22.2763,166.4572,75.0,99,79,5.55,broken clouds
612,Ankpa,NG,7.3706,7.6253,78.96,82,52,2.95,light rain
613,Muzhi,RU,65.3667,64.6667,31.55,86,89,5.35,overcast clouds
614,Tondon,GN,10.3667,-13.35,79.16,89,60,2.84,moderate rain
615,Kazanskoye,RU,55.6448,69.235,36.68,61,98,5.37,overcast clouds
616,Ingham,US,42.6,-84.3833,75.38,63,40,4.61,scattered clouds
617,Taoudenni,ML,22.6783,-3.9836,106.23,6,4,10.8,clear sky
618,Bom Jesus,BR,-9.0744,-44.3586,99.1,22,64,3.51,broken clouds
619,Broome,US,42.2506,-75.833,72.63,62,1,1.99,clear sky
620,Komsomolskiy,UZ,40.4272,71.7189,56.12,41,96,4.61,overcast clouds
621,Midland,US,31.9974,-102.0779,74.48,67,40,3.44,scattered clouds
622,Pangkalanbuun,ID,-2.6833,111.6167,73.67,95,67,0.25,broken clouds
623,Gimli,CA,50.6336,-96.9907,65.43,94,0,4.61,clear sky
624,Charters Towers,AU,-20.1,146.2667,67.73,70,1,7.02,clear sky
625,Katangli,RU,51.7102,143.2326,42.15,71,6,8.84,clear sky
626,Kpandae,GH,8.4689,-0.0113,85.26,72,39,3.53,scattered clouds
627,Along,IN,28.1667,94.7667,72.41,99,43,0.54,scattered clouds
628,Udimskiy,RU,61.1417,45.9144,42.62,94,100,2.53,light rain
629,Safford,US,32.834,-109.7076,73.11,43,1,12.66,clear sky
630,Nyurba,RU,63.2842,118.3319,27.97,86,60,1.21,broken clouds
631,Carutapera,BR,-1.195,-46.02,88.07,55,20,11.54,few clouds
632,Mildura,AU,-34.2,142.15,53.56,87,40,6.91,scattered clouds
633,Stange,NO,60.718,11.1942,51.62,93,100,5.46,overcast clouds
634,Mehamn,NO,71.0357,27.8492,50.14,85,96,18.95,overcast clouds
635,San Pedro,PH,14.35,121.0167,81.63,85,75,5.75,light intensity shower rain
636,Teguise,ES,29.0605,-13.564,79.02,61,0,21.85,clear sky
637,Severnyy,RU,50.677,36.5532,50.04,71,75,4.47,broken clouds
638,Chico,US,39.7285,-121.8375,76.68,34,20,1.99,few clouds
639,Massaguet,TD,12.4755,15.4365,96.84,18,89,7.85,overcast clouds
640,Katobu,ID,-4.9408,122.5276,73.74,85,56,1.1,broken clouds
641,Chikwawa,MW,-16.0335,34.8009,92.98,25,46,5.48,scattered clouds
642,Vicuna,CL,-30.0319,-70.7081,76.77,25,48,9.93,scattered clouds
643,Ponta Delgada,PT,37.7333,-25.6667,79.5,83,20,17.27,few clouds
644,Svetlogorsk,BY,52.6333,29.7333,48.54,70,100,7.9,overcast clouds
645,Filingue,NE,14.3521,3.3168,101.37,12,0,6.91,clear sky
646,Tura,IN,25.5198,90.2201,74.77,89,22,2.89,few clouds
647,Esmeraldas,BR,-19.7625,-44.3139,93.31,25,72,7.14,broken clouds
648,Pimenta Bueno,BR,-11.6725,-61.1936,97.29,33,25,6.02,scattered clouds
649,Ukiah,US,39.1502,-123.2078,83.97,50,1,0.0,clear sky
650,Pinega,RU,64.7001,43.3936,40.73,81,99,4.45,overcast clouds
651,Ekhabi,RU,53.5102,142.9671,40.69,81,39,7.65,scattered clouds
652,Pringsewu,ID,-5.3582,104.9744,73.81,96,43,2.71,scattered clouds
653,Thinadhoo,MV,0.5333,72.9333,83.19,69,49,12.08,scattered clouds
654,Rottingdean,GB,50.8098,-0.0594,63.63,97,75,34.0,broken clouds
655,Myanaung,MM,18.2833,95.3167,75.13,92,100,5.59,overcast clouds
656,Borovoy,RU,55.4333,86.0833,33.08,100,90,13.42,light shower snow
657,Rio Grande,BR,-32.035,-52.0986,68.11,59,2,6.55,clear sky
658,Huarmey,PE,-10.0681,-78.1522,67.89,73,42,9.37,scattered clouds
659,Kibala,TD,9.1104,18.3463,82.35,69,40,6.91,scattered clouds
660,Livingston,GB,55.9029,-3.5226,52.16,89,75,6.91,broken clouds
661,Ikom,NG,5.9667,8.7063,78.06,90,63,2.44,moderate rain
662,Vizinga,RU,61.0749,50.1031,43.45,95,100,3.13,overcast clouds
663,Quatis,BR,-22.4072,-44.2581,89.49,44,89,4.43,overcast clouds
664,Atambua,ID,-9.1061,124.8925,74.28,84,100,1.81,overcast clouds
665,Posse,BR,-14.0931,-46.3694,95.68,23,66,3.36,broken clouds
666,Lodwar,KE,3.1191,35.5973,82.76,45,98,16.64,overcast clouds
667,Hanstholm,DK,57.1167,8.6167,55.74,73,100,11.1,overcast clouds
668,Luangwa,ZM,-15.6167,30.4167,86.74,26,3,3.91,clear sky
