City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
279,Port Blair,IN,2021-09-29 01:34:04,11.6667,92.75,300.83,77,93,0.19
280,Magnolia,US,2021-09-29 01:34:04,33.2671,-93.2393,296.74,95,34,2.32
281,Lubon,PL,2021-09-29 01:34:04,52.3471,16.8927,286.5,66,0,0.89
282,Port Macquarie,AU,2021-09-29 01:32:14,-31.4333,152.9167,297.25,54,100,8.7
283,College,US,2021-09-29 01:30:41,64.8569,-147.8028,275.12,61,20,2.06
284,Tecoanapa,MX,2021-09-29 01:34:05,16.5167,-98.75,299.82,78,82,3.01
285,Garowe,SO,2021-09-29 01:34:05,8.4054,48.4845,299.19,59,76,5.89
286,Mecca,SA,2021-09-29 01:33:19,21.4267,39.8261,300.56,53,75,3.13
287,Kabala,SL,2021-09-29 01:34:06,9.5833,-11.55,294.5,93,94,1.21
288,Antalaha,MG,2021-09-29 01:34:06,-14.9003,50.2788,293.53,91,58,3.06
289,Luquillo,PR,2021-09-29 01:34:06,18.3725,-65.7166,301.12,78,75,2.57
290,Jambi,ID,2021-09-29 01:34:07,-1.6,103.6167,301.27,79,43,0.62
291,Paamiut,GL,2021-09-29 01:34:07,61.994,-49.6678,273.44,48,44,3.85
292,Shenjiamen,CN,2021-09-29 01:34:07,29.9576,122.298,299.26,80,0,5.07
293,Hamilton,US,2021-09-29 01:28:24,39.1834,-84.5333,296.35,83,40,0.0
